ba,illocution,imperative,imperative
baq,predicate,generic,"___ is the generic collective entity composed of the things that share property ___; ___ are the things that ___, in general."
bai,predicate,build,___ builds/assembles/makes ___.
bao,predicate,white,___ is the colour white.
baogūi,predicate,rice,___ is rice.
baorēo,predicate,white,___ is of white colour.
bu,predicate,not,___ is not the case / is false; ___ does not satisfy property ___.
bubōqkīu,predicate,inevitable,___ is inevitable.
buhūokīu,predicate,inaudible,___ is inaudible.
bukāqkīu,predicate,invisible,___ is invisible.
bu dải,predicate,impossible,___ is impossible.
bu tỉ,predicate,away,___ is away; ___ is not present at ___.
bumērāq,predicate,boomerang,___ is a boomerang.
burūaq,predicate,lie,___ lies / asserts untruth ___.
butīmēo,predicate,miss,___ misses ___; ___ is sad that ___ is not there.
buq,predicate,mouth,___ is a mouth.
buqlūo,predicate,lip,___ is a lip.
bua,predicate,,___ inhabits ___.
buajīo,predicate,,___ is a house (building for living in).
buaq,predicate,fail,___ fails to satisfy property ___.
buaq gải,predicate,miss,___ misses ___; ___ fails to observe ___.
bui,predicate,,___ is outside of ___.
buidūo,predicate,,___ moves out of ___.
buifā,predicate,,___ goes out of / exits ___.
buo,predicate,ready,___ is ready to satisfy property ___.
buoq,predicate,non-serious,___ is non-serious.
bue,predicate,home,___ is a home of ___.
bueq,,,
buai,predicate,long,___ is long.
buao,,,
bi,particle,:,terminates prenex
bidēo,predicate,video,___ is a video.
bikīnī,predicate,bikini,___ is a bikini.
birā,predicate,beer,___ is beer.
biq,predicate,thousand,___ are a thousand in number.
bia,predicate,sick,___ is sick/ill; ___ is sick/ill with ___.
biajīo,predicate,hospital,___ is a hospital.
biaq,predicate,enough,___ is enough; ___ sufficiently satisfies property ___.
biu,predicate,tube,___ is a tube.
biushōaicīa,predicate,flea,___ is a flea.
bio,predicate,cup,___ is a cup/glass.
bioq,,,
bie,predicate,after,___ takes place after ___.
biejāo,predicate,long.after,___ takes place long after ___.
biejūi,predicate,shortly.after,___ takes place shortly after ___.
bieq,,,
biai,,,
biao,predicate,confused,___ is confused.
bo,predicate,,___ has/possesses ___.
bodōa,predicate,give,___ gives possession of ___ to ___.
bohīaq,predicate,poor,___ is poor/unwealthy.
bomīa,predicate,rich,___ is rich/wealthy.
bonūa,predicate,take,___ takes possession of ___ from ___.
bonē,predicate,wealth,___ is the amount of ___'s wealth.
bosē,predicate,wasp,___ is a wasp.
boq,predicate,prevent,___ prevents ___.
boa,,,
boaq,,,
boe,predicate,leaf,___ is a leaf/sheet.
boi,predicate,since,___ takes place from ___ onwards.
be,predicate,infant,___ is an infant; ___ is a baby.
bebē,predicate,baby,___ is a baby.
beq,predicate,extrusion,___ is an extrusion/swelling/convex.
bea,predicate,knee,___ is a knee/elbow/knuckle.
beaq,predicate,stick,___ is a stick/pole.
bei,prefix,emphasis,puts emphasis on the following word
beo,predicate,change,___ changes; ___ changes in property ___.
beoq,,,
ca,predicate,,___ physically causes ___ to be the case.
ca pỏaq,predicate,,___ breaks/splits/separates ___.
caq,predicate,conduct,___ conducts/directs/manages ___.
caqchūo,predicate,controller,___ is a controller (instrument for controlling) for ___.
caqgīo,predicate,traffic.light,___ is a traffic light.
cai,predicate,strong,___ is strong.
caidūa,predicate,certain,___ is certain that ___ is the case.
cao,predicate,season,___ is a season.
cu,linking word,3rd.place,linking word: 3rd argument place
cutāo,predicate,spit,___ spits.
cuq,,,
cua,predicate,respond,___ responds to satisfying property ___ by satisfying property ___.
cuakūq,predicate,respond,___ responds ___ to ___.
cuaq,predicate,concept,___ is the concept/idea of satisfying property ___.
cuaq dẻ,argument phrase,,"""the concept of beauty"""
cui,predicate,magenta,___ is the colour magenta.
cuirēo,predicate,magenta,___ is magenta-coloured.
cuo,predicate,assume,___ assumes that ___ is the case.
cuoq,,,
cue,predicate,reign,___ reigns over ___.
cuefūai,predicate,government,___ is a government; ___ is a government of ___.
cueq,,,
cuai,predicate,wet,___ is wet.
cuao,predicate,beyond,___ is beyond ___ in property ___.
ci,predicate,six,___ are six in number.
ciq,,,
cia,predicate,lack,___ lacks property ___.
ciaq,,,
ciu,predicate,excrete,___ excretes ___.
ciurīaq,predicate,toilet,___ is a toilet.
ciusē,predicate,excretion,___ is an excretion.
cio,predicate,adolescent,___ is adolescent/pubescent.
cioq,,,
cie,predicate,fish,___ is a fish.
cieq,,,
ciai,,,
ciao,,,
